seed,use_guard,runtime_s,rollbacks,rollback_rate,coherence_avg,entropy_avg,entropy_std,timesteps,threshold_entropy
13,baseline,0.08962827799999928,0,0.0,0.31193943877384056,0.6880605612261594,0.26081870723702233,1500,0.2
13,guard,0.09072541500000142,1377,0.918,0.2244197766479138,0.7755802233520862,0.26821864710043497,1500,0.2
42,baseline,0.06526155599999584,0,0.0,0.26669377041106235,0.7333062295889377,0.22327882758949924,1500,0.2
42,guard,0.07632724599999818,1446,0.964,0.15970083805662472,0.8402991619433753,0.1969252648112628,1500,0.2
101,baseline,0.0757271669999966,0,0.0,0.2655620017986561,0.7344379982013439,0.217981209425537,1500,0.2
101,guard,0.0736531749999969,1457,0.9713333333333334,0.1531494363037067,0.8468505636962933,0.17810642040595379,1500,0.2
